"ZipCode","PlaceName",State,County,Lat,Long,RAND #s
96737,Ocean View,HI,Hawaii,19.1002,-155.7258,0.0000230755039524189
97134,Oceanside,OR,Tillamook,45.4549,-123.965,0.0000591346339395837
63701,Cape Girardeau,MO,Cape Girardeau,37.3169,-89.5459,0.0000646512901018026
88250,Hope,NM,Eddy,32.8156,-104.7299,0.0000646884710547857
64444,Edgerton,MO,Platte,39.4742,-94.6352,0.0000712756827043748
15450,La Belle,PA,Fayette,39.9983,-79.9754,0.0000728718402164263
94278,Sacramento,CA,Sacramento,38.5816,-121.4944,0.0000765976520055167
97875,Stanfield,OR,Umatilla,45.786,-119.2116,0.0000828667768709712
68113,Offutt Afb,NE,Sarpy,41.2563,-95.9404,0.0000869287484440706
61536,Hanna City,IL,Peoria,40.6798,-89.7952,0.000115217315256766
96837,Honolulu,HI,Honolulu,21.315,-157.8633,0.000128883053610696
93465,Templeton,CA,San Luis Obispo,35.5551,-120.7107,0.000158565658948451
92807,Anaheim,CA,Orange,33.8544,-117.7858,0.000162853525920381
29936,Ridgeland,SC,Jasper,32.4807,-80.9804,0.000164688195694152
45646,Latham,OH,Pike,39.0804,-83.3283,0.000183971354787094
98119,Seattle,WA,King,47.6379,-122.3643,0.000191908134389407
18660,Wapwallopen,PA,Luzerne,41.068,-76.0857,0.000220375186297139
45769,Pomeroy,OH,Meigs,39.0607,-82.0331,0.000246205453948822
72450,Paragould,AR,Greene,36.06,-90.5251,0.000266014256981473
14058,Elba,NY,Genesee,43.0897,-78.1704,0.000271497165795775
16023,Cabot,PA,Butler,40.7924,-79.76,0.000277230970603393
38041,Henning,TN,Lauderdale,35.6593,-89.6962,0.000279833710488342
38754,Isola,MS,Humphreys,33.2471,-90.604,0.000290040583647677
12592,Wassaic,NY,Dutchess,41.7759,-73.5544,0.000295780774496768
74761,Swink,OK,Choctaw,34.0179,-95.2022,0.000324770898451621
33862,Lake Placid,FL,Highlands,27.2931,-81.3629,0.000375018093882851
55329,Eden Valley,MN,Meeker,45.302,-94.6039,0.000410934158992959
28692,Vilas,NC,Watauga,36.2574,-81.7652,0.000426104522747717
56563,Moorhead,MN,Clay,46.8739,-96.7695,0.000460600427220292
95913,Artois,CA,Glenn,39.6197,-122.1927,0.000518161535769113
62794,Springfield,IL,Sangamon,39.7495,-89.606,0.000547268498028775
4022,Denmark,ME,Oxford,43.9755,-70.7924,0.000579694593396907
71748,Ivan,AR,Dallas,33.9118,-92.4246,0.000600158880886825
76908,Goodfellow Afb,TX,Tom Green,31.4321,-100.4022,0.000639391047018045
73083,Edmond,OK,Oklahoma,35.6665,-97.4654,0.000648952859363061
85376,Sun City West,AZ,Maricopa,33.662,-112.3413,0.000738760457446808
38769,Rosedale,MS,Bolivar,33.8432,-90.9923,0.000744091167823702
71461,New Llano,LA,Vernon,31.1149,-93.2716,0.000750355006759573
34637,Land O Lakes,FL,Pasco,28.2782,-82.4625,0.000779261077202387
80479,Toponas,CO,Routt,40.0603,-106.8081,0.000816651283365721
80236,Denver,CO,Denver,39.6535,-105.0376,0.000842122843428772
51536,Hancock,IA,Pottawattamie,41.3832,-95.3445,0.00090535937594094
88124,Melrose,NM,Curry,34.4479,-103.6325,0.000908713581814769
37755,Helenwood,TN,Scott,36.4329,-84.5381,0.000917758230752352
37769,Lake City,TN,Anderson,36.2032,-84.1386,0.000918534781676028
74631,Blackwell,OK,Kay,36.8006,-97.2867,0.000942166476458728
61108,Rockford,IL,Winnebago,42.2514,-89.0235,0.000943010728875371
25514,Fort Gay,WV,Wayne,38.1335,-82.5541,0.000947474197452891
51531,Elk Horn,IA,Shelby,41.5829,-95.07,0.000954004957647081
35754,Laceys Spring,AL,Morgan,34.4996,-86.6129,0.000973012551524488
56473,Pillager,MN,Cass,46.3607,-94.4895,0.000987307205351895
25570,Wayne,WV,Wayne,38.2258,-82.4339,0.000990306277874331
30019,Dacula,GA,Gwinnett,33.9883,-83.8795,0.000995847616840573
39083,Hazlehurst,MS,Copiah,31.8562,-90.4051,0.00106096497570163
70662,Sugartown,LA,Beauregard,30.8277,-93.017,0.00107376940090764
72741,Johnson,AR,Washington,36.1329,-94.1655,0.00108644429766713
11055,Port Washington,NY,Nassau,40.7548,-73.6018,0.00109465133183939
22432,Burgess,VA,Northumberland,37.8687,-76.3542,0.00110969517918924
47305,Muncie,IN,Delaware,40.1933,-85.3862,0.00111486744423162
51244,Matlock,IA,Sioux,43.2439,-95.9353,0.00113254667149887
47435,Helmsburg,IN,Brown,39.1963,-86.2302,0.00114954000012046
20620,Callaway,MD,St. Mary's,38.2275,-76.521,0.0012322609780413
46111,Brooklyn,IN,Morgan,39.5396,-86.3701,0.00126311369824361
71466,Otis,LA,Rapides,31.2077,-92.7392,0.00126836172271483
22555,Stafford,VA,Stafford,38.4221,-77.4083,0.00129611286648401
40075,Turners Station,KY,Henry,38.5521,-85.1019,0.00129722615973304
50252,Swan,IA,Marion,41.4636,-93.301,0.00130236967844455
83414,Alta,WY,Teton,43.8886,-110.9492,0.00131195680699647
60204,Evanston,IL,Cook,42.0411,-87.6901,0.00135019581192253
14729,East Otto,NY,Cattaraugus,42.3971,-78.7432,0.00136074378439732
95436,Forestville,CA,Sonoma,38.4923,-122.9042,0.00137728159367645
41073,Bellevue,KY,Campbell,39.1024,-84.4787,0.00138071679962759
45115,Decatur,OH,Brown,38.8237,-83.6995,0.00139053757027841
49752,Kinross,MI,Chippewa,46.275,-84.5148,0.00140509708766345
56029,Emmons,MN,Freeborn,43.5089,-93.4824,0.00150528909791448
30368,Atlanta,GA,Fulton,33.8444,-84.4741,0.00154070452464294
36521,Chunchula,AL,Mobile,30.9912,-88.1311,0.00154097272809572
53952,Oxford,WI,Marquette,43.7799,-89.5632,0.00155671720294714
37701,Alcoa,TN,Blount,35.7852,-83.9809,0.00156121502483797
94507,Alamo,CA,Contra Costa,37.8537,-122.0229,0.00159167068068145
49094,Union City,MI,Branch,42.0551,-85.1356,0.00159841385795356
